SHEET: AHU

B2    | t=s          | F:  | V: Select AHU/PAU Components
AX6   | t=           | F: IF($AP$3=TRUE,AP6,0) | V: 0
AY6   | t=           | F: IF($AQ$3=TRUE,AQ6,0) | V: 0
AZ6   | t=           | F: IF($AR$3=TRUE,AR6,0) | V: 0
BA6   | t=           | F: IF($AS$3=TRUE,AS6,0) | V: 0
L7    | t=s          | F:  | V: 003
M7    | t=str        | F: IF($N$54=O7,"►","") | V: 
N7    | t=           | F:  | V: 2070
O7    | t=           | F:  | V: 575
P7    | t=str        | F: IF($Q$54=R7,"►","") | V: 
Q7    | t=           | F:  | V: 1863
R7    | t=           | F: Q7/3.6 | V: 517.5
S7    | t=           | F: 150+SUM(AT6:BA6) | V: 150
T7    | t=           | F:  | V: 700
U7    | t=           | F:  | V: 850
W7    | t=s          | F:  | V: A1-690H-1050W
X7    | t=str        | F: IF($Y$54=Z7,"►","") | V: 
Y7    | t=           | F:  | V: 2556
Z7    | t=           | F: Y7/3.6 | V: 710
AA7   | t=str        | F: IF($AB$54=AC7,"►","") | V: 
AB7   | t=           | F:  | V: 2300
AC7   | t=           | F: AB7/3.6 | V: 638.88888888888891
AD7   | t=           | F: 150+SUM(AT35:BA35) | V: 150
AE7   | t=           | F:  | V: 985
AF7   | t=           | F:  | V: 680
AH7   | t=s          | F:  | V: 004
AI7   | t=           | F:  | V: 310
AJ7   | t=           | F:  | V: 155
AK7   | t=           | F:  | V: 620
AL7   | t=           | F:  | V: 310
AM7   | t=           | F:  | V: 310
AN7   | t=           | F:  | V: 465
AO7   | t=           | F:  | V: 620
AP7   | t=           | F:  | V: 310
AQ7   | t=           | F:  | V: 700
AR7   | t=           | F:  | V: 775
AS7   | t=           | F:  | V: 300
AT7   | t=           | F: IF($AI$3=TRUE,AI7,0) | V: 0
AU7   | t=           | F: IF($AJ$3=TRUE,AJ7,0) | V: 0
AV7   | t=           | F: IF($AK$3=TRUE,AK7,0) | V: 0
AW7   | t=           | F: IF($AL$3=TRUE,AN7,0) | V: 0
AX7   | t=           | F: IF($AP$3=TRUE,AP7,0) | V: 0
AY7   | t=           | F: IF($AQ$3=TRUE,AQ7,0) | V: 0
AZ7   | t=           | F: IF($AR$3=TRUE,AR7,0) | V: 0
BA7   | t=           | F: IF($AS$3=TRUE,AS7,0) | V: 0
L8    | t=s          | F:  | V: 004
M8    | t=str        | F:  | V: 
N8    | t=           | F:  | V: 3600
O8    | t=           | F:  | V: 1000
P8    | t=str        | F: IF($Q$54=R8,"►","") | V: 
Q8    | t=           | F:  | V: 3240
R8    | t=           | F: Q8/3.6 | V: 900
S8    | t=           | F:  | V: 150
T8    | t=           | F:  | V: 1100
U8    | t=           | F:  | V: 850
W8    | t=s          | F:  | V: A1-1010H-1050W
X8    | t=str        | F: IF($Y$54=Z8,"►","") | V: 
Y8    | t=           | F:  | V: 4428
Z8    | t=           | F:  | V: 1230
AA8   | t=str        | F: IF($AB$54=AC8,"►","") | V: 
AB8   | t=           | F:  | V: 3985
AC8   | t=           | F: AB8/3.6 | V: 1106.9444444444443
AD8   | t=           | F:  | V: 150
AE8   | t=           | F:  | V: 985
AF8   | t=           | F:  | V: 985
AH8   | t=s          | F:  | V: 006
AI8   | t=           | F:  | V: 310
AJ8   | t=           | F:  | V: 155
AK8   | t=           | F:  | V: 620
AL8   | t=           | F:  | V: 310
AM8   | t=           | F:  | V: 310
AN8   | t=           | F:  | V: 465
AO8   | t=           | F:  | V: 620
AP8   | t=           | F:  | V: 310
AQ8   | t=           | F:  | V: 700
AR8   | t=           | F:  | V: 930
AS8   | t=           | F:  | V: 300
AT8   | t=           | F:  | V: 0
AU8   | t=           | F:  | V: 0
AV8   | t=           | F:  | V: 0
AW8   | t=           | F:  | V: 0
AX8   | t=           | F:  | V: 0
AY8   | t=           | F:  | V: 0
AZ8   | t=           | F:  | V: 0
BA8   | t=           | F:  | V: 0
L9    | t=s          | F:  | V: 006
M9    | t=str        | F:  | V: 
N9    | t=           | F:  | V: 5040
O9    | t=           | F:  | V: 1400
P9    | t=str        | F:  | V: 
Q9    | t=           | F:  | V: 4536
R9    | t=           | F:  | V: 1260
S9    | t=           | F:  | V: 150
