SHEET: Fan

B2    | t=s          | F:  | V: Fan Selection
BA16  | t=s          | F:  | V: W x L x H
BB16  | t=s          | F:  | V: kg
BC16  | t=s          | F:  | V: kW
BE16  | t=s          | F:  | V: W x L x H
BF16  | t=s          | F:  | V: kg
BG16  | t=s          | F:  | V: kW
BI16  | t=s          | F:  | V: W x L x H
BJ16  | t=s          | F:  | V: kg
BK16  | t=s          | F:  | V: kW
BM16  | t=s          | F:  | V: W x L x H
BN16  | t=s          | F:  | V: kg
BO16  | t=s          | F:  | V: kW
BQ16  | t=s          | F:  | V: W x L x H
BR16  | t=s          | F:  | V: kg
BS16  | t=s          | F:  | V: kW
BU16  | t=s          | F:  | V: W x L x H
BV16  | t=s          | F:  | V: kg
BW16  | t=s          | F:  | V: kW
BY16  | t=s          | F:  | V: W x L x H
BZ16  | t=s          | F:  | V: kg
CA16  | t=s          | F:  | V: kW
CD16  | t=s          | F:  | V: kg
CE16  | t=s          | F:  | V: kW
CH16  | t=s          | F:  | V: kg
CI16  | t=s          | F:  | V: kW
CL16  | t=s          | F:  | V: kg
CM16  | t=s          | F:  | V: kW
CP16  | t=s          | F:  | V: kg
CQ16  | t=s          | F:  | V: kW
CT16  | t=s          | F:  | V: kg
CU16  | t=s          | F:  | V: kW
B17   | t=           | F:  | V: 1000
C17   | t=           | F:  | V: 277.77777777777777
D17   | t=s          | F:  | V: -
E17   | t=s          | F:  | V: -
F17   | t=s          | F:  | V: -
G17   | t=s          | F:  | V: -
H17   | t=s          | F:  | V: -
I17   | t=s          | F:  | V: -
J17   | t=s          | F:  | V: -
K17   | t=s          | F:  | V: -
L17   | t=s          | F:  | V: -
M17   | t=s          | F:  | V: -
N17   | t=s          | F:  | V: -
O17   | t=s          | F:  | V: -
P17   | t=s          | F:  | V: -
Q17   | t=s          | F:  | V: -
R17   | t=s          | F:  | V: -
S17   | t=s          | F:  | V: -
T17   | t=s          | F:  | V: -
U17   | t=s          | F:  | V: -
V17   | t=s          | F:  | V: -
W17   | t=s          | F:  | V: -
X17   | t=s          | F:  | V: -
Y17   | t=s          | F:  | V: -
Z17   | t=s          | F:  | V: -
AA17  | t=s          | F:  | V: -
AB17  | t=s          | F:  | V: -
AC17  | t=s          | F:  | V: -
AD17  | t=s          | F:  | V: -
AE17  | t=s          | F:  | V: -
AF17  | t=s          | F:  | V: -
AG17  | t=s          | F:  | V: -
AH17  | t=s          | F:  | V: -
AI17  | t=s          | F:  | V: -
AJ17  | t=s          | F:  | V: -
AK17  | t=s          | F:  | V: -
AL17  | t=s          | F:  | V: -
AM17  | t=s          | F:  | V: -
AN17  | t=s          | F:  | V: FY-12BCS-D
AO17  | t=s          | F:  | V: 485 x 870 x 740
AP17  | t=           | F:  | V: 75
AQ17  | t=           | F:  | V: 0.25
AR17  | t=s          | F:  | V: -
AS17  | t=s          | F:  | V: -
AT17  | t=s          | F:  | V: -
AU17  | t=s          | F:  | V: -
